wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.458	0.005	0.070	0.002
3.02	1.450	0.005	0.060	0.002
3.04	1.449	0.005	0.060	0.002
3.06	1.446	0.005	0.040	0.002
3.08	1.446	0.005	0.040	0.002
3.10	1.443	0.005	0.020	0.002
3.12	1.443	0.005	0.010	0.002
3.14	1.441	0.005	0.010	0.002
3.16	1.440	0.005	0.010	0.002
3.18	1.438	0.005	0.010	0.002
3.20	1.438	0.005	0.010	0.002
3.22	1.436	0.005	0.010	0.002
3.24	1.436	0.005	0.010	0.002
3.26	1.435	0.005	0.010	0.002
3.28	1.434	0.005	0.010	0.002
3.30	1.433	0.005	0.010	0.002
3.32	1.432	0.005	0.010	0.002
3.34	1.431	0.005	0.000	0.002
3.36	1.431	0.005	0.010	0.002
3.38	1.430	0.005	0.000	0.002
3.40	1.429	0.005	0.010	0.002
3.42	1.428	0.005	0.010	0.002
3.44	1.428	0.005	0.010	0.002
3.46	1.427	0.005	0.010	0.002
3.48	1.426	0.005	0.010	0.002
3.50	1.425	0.005	0.010	0.002
3.52	1.425	0.005	0.010	0.002
3.54	1.424	0.005	0.010	0.002
3.56	1.423	0.005	0.020	0.002
3.58	1.422	0.005	0.010	0.002
3.60	1.422	0.005	0.020	0.002
3.62	1.421	0.005	0.020	0.002
3.64	1.421	0.005	0.020	0.002
3.66	1.420	0.005	0.020	0.002
3.68	1.419	0.005	0.020	0.002
3.70	1.419	0.005	0.020	0.002
3.72	1.418	0.005	0.020	0.002
3.74	1.417	0.005	0.020	0.002
3.76	1.417	0.005	0.020	0.002
3.78	1.416	0.005	0.020	0.002
3.80	1.416	0.005	0.020	0.002
3.82	1.415	0.005	0.020	0.002
3.84	1.414	0.005	0.020	0.002
3.86	1.414	0.005	0.020	0.002
3.88	1.413	0.005	0.020	0.002
3.90	1.412	0.005	0.020	0.002
3.92	1.412	0.005	0.030	0.002
3.94	1.411	0.005	0.020	0.002
3.96	1.411	0.005	0.030	0.002
3.98	1.410	0.005	0.020	0.002
4.00	1.410	0.005	0.030	0.002
