wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.470	0.006	0.005	0.002
3.02	1.473	0.006	0.010	0.003
3.04	1.473	0.006	0.003	0.002
3.06	1.474	0.006	0.005	0.002
3.08	1.473	0.006	0.003	0.002
3.10	1.474	0.006	0.004	0.002
3.12	1.474	0.006	0.002	0.002
3.14	1.474	0.006	0.003	0.002
3.16	1.474	0.006	0.002	0.002
3.18	1.474	0.006	0.003	0.002
3.20	1.473	0.006	0.002	0.001
3.22	1.473	0.006	0.002	0.001
3.24	1.473	0.006	0.002	0.001
3.26	1.473	0.006	0.002	0.001
3.28	1.473	0.006	0.002	0.001
3.30	1.473	0.006	0.002	0.001
3.32	1.473	0.006	0.002	0.001
3.34	1.473	0.006	0.002	0.001
3.36	1.473	0.006	0.002	0.001
3.38	1.472	0.006	0.002	0.001
3.40	1.472	0.006	0.002	0.001
3.42	1.472	0.006	0.002	0.001
3.44	1.472	0.006	0.002	0.001
3.46	1.472	0.006	0.002	0.001
3.48	1.472	0.006	0.002	0.001
3.50	1.472	0.006	0.002	0.001
3.52	1.471	0.006	0.002	0.001
3.54	1.471	0.006	0.002	0.001
3.56	1.471	0.006	0.002	0.001
3.58	1.471	0.006	0.002	0.001
3.60	1.471	0.006	0.002	0.001
3.62	1.471	0.006	0.002	0.001
3.64	1.470	0.006	0.002	0.001
3.66	1.470	0.006	0.002	0.001
3.68	1.470	0.006	0.002	0.001
3.70	1.470	0.006	0.002	0.001
3.72	1.470	0.006	0.002	0.001
3.74	1.470	0.006	0.002	0.001
3.76	1.469	0.006	0.002	0.001
3.78	1.469	0.006	0.002	0.001
3.80	1.469	0.006	0.002	0.001
3.82	1.469	0.006	0.002	0.001
3.84	1.469	0.006	0.002	0.001
3.86	1.469	0.006	0.002	0.001
3.88	1.468	0.006	0.002	0.001
3.90	1.468	0.006	0.002	0.001
3.92	1.468	0.006	0.002	0.001
3.94	1.468	0.006	0.002	0.001
3.96	1.468	0.006	0.002	0.001
3.98	1.467	0.006	0.002	0.001
4.00	1.467	0.006	0.002	0.001
4.02	1.467	0.006	0.002	0.001
4.04	1.467	0.006	0.002	0.001
4.06	1.467	0.006	0.002	0.001
4.08	1.467	0.006	0.002	0.001
4.10	1.466	0.006	0.002	0.001
4.12	1.466	0.006	0.002	0.001
4.14	1.466	0.006	0.002	0.001
4.16	1.466	0.006	0.002	0.001
4.18	1.466	0.006	0.002	0.001
4.20	1.465	0.006	0.002	0.001
4.22	1.465	0.006	0.002	0.001
4.24	1.465	0.006	0.002	0.001
4.26	1.465	0.006	0.002	0.001
4.28	1.465	0.006	0.002	0.001
4.30	1.464	0.006	0.003	0.001
4.32	1.464	0.006	0.003	0.001
4.34	1.464	0.006	0.003	0.001
4.36	1.464	0.006	0.003	0.001
4.38	1.464	0.006	0.003	0.001
4.40	1.464	0.006	0.003	0.001
4.42	1.463	0.006	0.003	0.001
4.44	1.463	0.006	0.003	0.001
4.46	1.463	0.006	0.003	0.001
4.48	1.463	0.006	0.003	0.001
4.50	1.462	0.006	0.003	0.001
4.52	1.462	0.006	0.003	0.001
4.54	1.462	0.006	0.003	0.001
4.56	1.462	0.006	0.003	0.001
4.58	1.462	0.006	0.003	0.001
4.60	1.461	0.006	0.003	0.001
4.62	1.461	0.006	0.003	0.001
4.64	1.461	0.006	0.003	0.001
4.66	1.461	0.006	0.003	0.001
4.68	1.461	0.006	0.003	0.001
4.70	1.460	0.006	0.003	0.001
4.72	1.460	0.006	0.003	0.001
4.74	1.460	0.006	0.003	0.001
4.76	1.460	0.006	0.003	0.001
4.78	1.459	0.006	0.003	0.001
4.80	1.459	0.006	0.003	0.001
4.82	1.459	0.006	0.003	0.001
4.84	1.459	0.006	0.003	0.001
4.86	1.458	0.006	0.003	0.001
4.88	1.458	0.006	0.003	0.001
4.90	1.458	0.006	0.003	0.001
4.92	1.458	0.006	0.003	0.001
4.94	1.457	0.006	0.003	0.001
4.96	1.457	0.006	0.003	0.001
4.98	1.457	0.006	0.003	0.001
5.00	1.457	0.006	0.003	0.001
5.02	1.456	0.006	0.003	0.001
5.04	1.456	0.006	0.003	0.001
5.06	1.456	0.006	0.003	0.001
5.08	1.456	0.006	0.003	0.001
5.10	1.455	0.006	0.003	0.001
5.12	1.455	0.006	0.003	0.001
5.14	1.455	0.006	0.003	0.001
5.16	1.455	0.006	0.003	0.001
5.18	1.454	0.006	0.003	0.001
5.20	1.454	0.006	0.003	0.001
5.22	1.454	0.006	0.003	0.001
5.24	1.453	0.006	0.003	0.001
5.26	1.453	0.006	0.003	0.001
5.28	1.453	0.006	0.003	0.001
5.30	1.453	0.006	0.003	0.001
5.32	1.452	0.006	0.003	0.001
5.34	1.452	0.006	0.003	0.001
5.36	1.452	0.006	0.003	0.001
5.38	1.451	0.006	0.003	0.001
5.40	1.451	0.006	0.003	0.001
5.42	1.451	0.006	0.003	0.001
5.44	1.450	0.006	0.003	0.001
5.46	1.450	0.006	0.003	0.001
5.48	1.450	0.006	0.003	0.001
5.50	1.449	0.006	0.003	0.001
5.52	1.449	0.006	0.003	0.001
5.54	1.449	0.006	0.003	0.001
5.56	1.448	0.006	0.003	0.001
5.58	1.448	0.006	0.004	0.001
5.60	1.448	0.006	0.003	0.001
5.62	1.447	0.006	0.003	0.001
5.64	1.447	0.006	0.003	0.001
5.66	1.447	0.006	0.003	0.001
5.68	1.447	0.005	0.003	0.001
5.70	1.446	0.005	0.003	0.001
5.72	1.446	0.005	0.003	0.001
5.74	1.445	0.005	0.004	0.001
5.76	1.445	0.005	0.003	0.001
5.78	1.444	0.004	0.004	0.001
5.80	1.443	0.004	0.004	0.001
5.82	1.442	0.004	0.004	0.001
5.84	1.441	0.004	0.004	0.001
5.86	1.441	0.004	0.004	0.001
5.88	1.440	0.004	0.004	0.001
5.90	1.439	0.004	0.004	0.001
5.92	1.438	0.004	0.004	0.001
5.94	1.437	0.004	0.004	0.001
5.96	1.436	0.004	0.004	0.001
5.98	1.435	0.005	0.004	0.001
6.00	1.435	0.005	0.004	0.001
6.02	1.434	0.005	0.004	0.001
6.04	1.433	0.006	0.004	0.001
6.06	1.433	0.006	0.005	0.001
6.08	1.431	0.006	0.005	0.001
6.10	1.431	0.007	0.005	0.001
6.12	1.431	0.007	0.005	0.001
6.14	1.430	0.006	0.005	0.001
6.16	1.429	0.006	0.005	0.001
6.18	1.428	0.006	0.005	0.001
6.20	1.427	0.006	0.005	0.001
6.22	1.426	0.006	0.005	0.001
6.24	1.424	0.006	0.005	0.001
6.26	1.423	0.005	0.005	0.001
6.28	1.420	0.005	0.005	0.001
