wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.490	0.004	0.042	0.002
3.02	1.486	0.004	0.025	0.002
3.04	1.485	0.004	0.032	0.002
3.06	1.472	0.004	0.024	0.002
3.08	1.472	0.004	0.033	0.002
3.10	1.464	0.004	0.029	0.002
3.12	1.463	0.004	0.031	0.002
3.14	1.458	0.004	0.030	0.002
3.16	1.457	0.004	0.034	0.002
3.18	1.452	0.004	0.033	0.002
3.20	1.452	0.004	0.036	0.002
3.22	1.448	0.004	0.035	0.002
3.24	1.448	0.004	0.037	0.002
3.26	1.444	0.004	0.036	0.002
3.28	1.444	0.004	0.039	0.002
3.30	1.441	0.004	0.038	0.002
3.32	1.440	0.004	0.041	0.002
3.34	1.437	0.004	0.040	0.002
3.36	1.437	0.004	0.043	0.002
3.38	1.434	0.004	0.043	0.002
3.40	1.434	0.004	0.046	0.002
3.42	1.432	0.004	0.046	0.002
3.44	1.431	0.004	0.050	0.002
3.46	1.429	0.004	0.051	0.002
3.48	1.429	0.004	0.053	0.002
3.50	1.426	0.004	0.055	0.002
3.52	1.426	0.004	0.057	0.002
3.54	1.424	0.004	0.057	0.002
3.56	1.424	0.004	0.060	0.002
3.58	1.422	0.004	0.061	0.002
3.60	1.421	0.004	0.062	0.002
3.62	1.420	0.004	0.063	0.002
3.64	1.419	0.004	0.066	0.002
3.66	1.417	0.004	0.066	0.002
3.68	1.417	0.004	0.068	0.002
3.70	1.415	0.004	0.068	0.002
3.72	1.415	0.004	0.070	0.002
3.74	1.413	0.004	0.071	0.002
3.76	1.413	0.004	0.073	0.002
3.78	1.411	0.004	0.074	0.002
3.80	1.411	0.004	0.076	0.002
3.82	1.409	0.004	0.076	0.002
3.84	1.409	0.004	0.079	0.002
3.86	1.407	0.004	0.080	0.002
3.88	1.407	0.004	0.082	0.002
3.90	1.406	0.004	0.083	0.002
3.92	1.405	0.004	0.086	0.002
3.94	1.404	0.004	0.087	0.002
3.96	1.403	0.004	0.090	0.002
3.98	1.402	0.004	0.092	0.002
4.00	1.402	0.004	0.095	0.002
4.02	1.400	0.004	0.097	0.002
4.04	1.400	0.004	0.101	0.002
4.06	1.398	0.004	0.105	0.002
4.08	1.398	0.004	0.111	0.002
4.10	1.397	0.004	0.113	0.002
4.12	1.396	0.004	0.111	0.002
4.14	1.395	0.004	0.112	0.002
4.16	1.395	0.004	0.101	0.002
4.18	1.393	0.004	0.097	0.002
4.20	1.393	0.004	0.098	0.002
4.22	1.392	0.004	0.086	0.002
4.24	1.391	0.004	0.080	0.002
4.26	1.390	0.004	0.060	0.002
4.28	1.390	0.004	0.052	0.002
4.30	1.388	0.004	0.030	0.002
4.32	1.388	0.004	0.020	0.002
4.34	1.387	0.004	0.021	0.002
4.36	1.386	0.004	0.023	0.002
4.38	1.385	0.004	0.016	0.002
4.40	1.385	0.004	0.021	0.002
4.42	1.384	0.004	0.018	0.002
4.44	1.383	0.004	0.028	0.002
4.46	1.382	0.004	0.032	0.002
4.48	1.381	0.004	0.043	0.002
4.50	1.380	0.004	0.046	0.002
4.52	1.380	0.004	0.052	0.002
4.54	1.379	0.004	0.054	0.002
4.56	1.378	0.004	0.060	0.002
4.58	1.377	0.004	0.061	0.002
4.60	1.377	0.004	0.065	0.002
4.62	1.376	0.004	0.067	0.002
4.64	1.375	0.004	0.070	0.002
4.66	1.374	0.004	0.072	0.002
4.68	1.374	0.004	0.075	0.002
4.70	1.372	0.004	0.076	0.002
4.72	1.372	0.004	0.079	0.002
4.74	1.371	0.004	0.080	0.002
4.76	1.370	0.004	0.082	0.002
4.78	1.369	0.004	0.083	0.002
4.80	1.369	0.004	0.086	0.002
4.82	1.368	0.004	0.086	0.002
4.84	1.367	0.004	0.090	0.002
4.86	1.366	0.004	0.090	0.002
4.88	1.366	0.004	0.093	0.002
4.90	1.365	0.004	0.094	0.002
4.92	1.364	0.004	0.096	0.002
4.94	1.363	0.004	0.095	0.002
4.96	1.362	0.004	0.099	0.002
4.98	1.361	0.004	0.099	0.002
5.00	1.361	0.004	0.100	0.002
5.02	1.360	0.004	0.102	0.002
5.04	1.359	0.004	0.104	0.002
5.06	1.358	0.004	0.102	0.002
5.08	1.358	0.004	0.107	0.002
5.10	1.357	0.004	0.107	0.002
5.12	1.356	0.004	0.108	0.002
5.14	1.355	0.004	0.107	0.002
5.16	1.354	0.004	0.110	0.002
5.18	1.353	0.004	0.110	0.002
5.20	1.353	0.004	0.112	0.002
5.22	1.352	0.004	0.113	0.002
5.24	1.351	0.004	0.115	0.002
5.26	1.350	0.004	0.114	0.002
5.28	1.350	0.004	0.115	0.002
5.30	1.348	0.004	0.115	0.002
5.32	1.348	0.004	0.118	0.002
5.34	1.347	0.004	0.118	0.002
5.36	1.346	0.004	0.120	0.002
5.38	1.345	0.004	0.116	0.002
5.40	1.345	0.004	0.119	0.002
5.42	1.344	0.004	0.120	0.002
5.44	1.343	0.004	0.121	0.002
5.46	1.342	0.004	0.119	0.002
5.48	1.341	0.004	0.119	0.002
5.50	1.340	0.004	0.119	0.002
5.52	1.340	0.004	0.121	0.002
5.54	1.338	0.004	0.117	0.002
5.56	1.338	0.004	0.119	0.002
5.58	1.337	0.004	0.120	0.002
5.60	1.336	0.004	0.127	0.002
5.62	1.335	0.004	0.121	0.002
5.64	1.334	0.004	0.119	0.002
5.66	1.333	0.004	0.115	0.002
5.68	1.333	0.004	0.113	0.002
5.70	1.331	0.004	0.116	0.002
5.72	1.331	0.004	0.119	0.002
5.74	1.330	0.004	0.111	0.002
5.76	1.329	0.004	0.122	0.002
5.78	1.328	0.004	0.110	0.002
5.80	1.327	0.004	0.109	0.002
5.82	1.326	0.004	0.106	0.002
5.84	1.325	0.004	0.104	0.002
5.86	1.324	0.004	0.094	0.002
5.88	1.324	0.004	0.097	0.002
5.90	1.322	0.004	0.090	0.002
5.92	1.322	0.004	0.100	0.002
5.94	1.320	0.004	0.094	0.002
5.96	1.320	0.004	0.085	0.002
5.98	1.319	0.004	0.061	0.002
6.00	1.318	0.004	0.060	0.002
6.02	1.317	0.004	0.039	0.002
6.04	1.316	0.004	0.040	0.002
6.06	1.315	0.004	0.014	0.002
6.08	1.314	0.004	0.020	0.002
6.10	1.313	0.004	0.016	0.002
6.12	1.312	0.004	0.015	0.002
6.14	1.311	0.004	0.035	0.002
6.16	1.310	0.004	0.076	0.002
6.18	1.309	0.004	0.029	0.002
6.20	1.308	0.004	0.025	0.002
6.22	1.306	0.004	0.028	0.002
6.24	1.306	0.004	0.043	0.002
6.26	1.304	0.004	0.065	0.002
6.28	1.304	0.004	0.076	0.002
6.30	1.302	0.004	0.098	0.002
6.32	1.301	0.004	0.093	0.002
6.34	1.300	0.004	0.095	0.002
6.36	1.299	0.004	0.101	0.002
6.38	1.298	0.004	0.107	0.002
6.40	1.297	0.004	0.103	0.002
6.42	1.296	0.004	0.088	0.002
6.44	1.295	0.004	0.063	0.002
6.46	1.293	0.004	0.054	0.002
6.48	1.292	0.004	0.041	0.002
6.50	1.291	0.004	0.035	0.002
6.52	1.290	0.004	0.025	0.002
6.54	1.288	0.004	0.020	0.002
6.56	1.287	0.004	0.013	0.002
6.58	1.286	0.004	0.010	0.002
6.60	1.285	0.004	0.014	0.002
6.62	1.283	0.004	0.017	0.002
6.64	1.282	0.004	0.028	0.002
6.66	1.281	0.004	0.033	0.002
6.68	1.280	0.004	0.048	0.002
6.70	1.278	0.004	0.060	0.002
6.72	1.277	0.004	0.083	0.002
6.74	1.275	0.004	0.094	0.002
6.76	1.274	0.004	0.112	0.002
6.78	1.273	0.004	0.091	0.002
6.80	1.272	0.004	0.125	0.002
6.82	1.270	0.004	0.146	0.002
6.84	1.269	0.004	0.104	0.002
6.86	1.266	0.004	0.091	0.002
6.88	1.266	0.005	0.083	0.002
6.90	1.264	0.004	0.081	0.002
6.92	1.263	0.005	0.069	0.002
6.94	1.262	0.004	0.067	0.002
6.96	1.260	0.004	0.069	0.002
6.98	1.258	0.004	0.069	0.002
7.00	1.256	0.004	0.056	0.002
7.02	1.255	0.004	0.048	0.002
7.04	1.253	0.004	0.039	0.002
7.06	1.251	0.004	0.039	0.002
7.08	1.249	0.004	0.042	0.002
7.10	1.248	0.005	0.043	0.002
7.12	1.246	0.004	0.042	0.002
7.14	1.244	0.005	0.041	0.002
7.16	1.243	0.004	0.037	0.002
7.18	1.240	0.005	0.035	0.002
7.20	1.240	0.004	0.033	0.002
7.22	1.236	0.004	0.032	0.002
7.24	1.236	0.004	0.034	0.002
7.26	1.232	0.004	0.038	0.002
7.28	1.232	0.005	0.035	0.002
7.30	1.228	0.004	0.032	0.002
7.32	1.227	0.006	0.029	0.002
7.34	1.225	0.004	0.025	0.002
7.36	1.223	0.006	0.023	0.002
7.38	1.221	0.004	0.026	0.002
7.40	1.218	0.006	0.026	0.002
7.42	1.218	0.006	0.025	0.002
7.44	1.215	0.004	0.024	0.002
7.46	1.211	0.004	0.021	0.002
7.48	1.210	0.005	0.019	0.002
7.50	1.206	0.004	0.019	0.002
7.52	1.204	0.006	0.019	0.002
7.54	1.201	0.004	0.019	0.002
7.56	1.199	0.006	0.020	0.002
7.58	1.197	0.004	0.020	0.002
7.60	1.193	0.005	0.018	0.002
7.62	1.190	0.004	0.018	0.002
7.64	1.186	0.006	0.018	0.002
7.66	1.185	0.005	0.018	0.002
7.68	1.181	0.006	0.018	0.002
7.70	1.179	0.005	0.019	0.002
7.72	1.174	0.004	0.019	0.002
7.74	1.170	0.005	0.020	0.002
7.76	1.167	0.006	0.022	0.002
7.78	1.164	0.004	0.023	0.002
7.80	1.158	0.005	0.024	0.002
7.82	1.154	0.006	0.025	0.002
7.84	1.150	0.007	0.026	0.002
7.86	1.146	0.008	0.028	0.002
7.88	1.141	0.009	0.029	0.002
7.90	1.138	0.010	0.030	0.002
7.92	1.134	0.010	0.031	0.002
7.94	1.129	0.011	0.033	0.002
7.96	1.125	0.012	0.034	0.003
7.98	1.120	0.012	0.035	0.002
8.00	1.114	0.013	0.037	0.002
8.02	1.110	0.015	0.039	0.002
8.04	1.105	0.015	0.040	0.002
8.06	1.099	0.015	0.041	0.002
8.08	1.093	0.015	0.043	0.002
8.10	1.085	0.017	0.045	0.002
8.12	1.079	0.019	0.046	0.003
8.14	1.071	0.020	0.048	0.003
8.16	1.063	0.023	0.049	0.003
8.18	1.054	0.025	0.052	0.004
8.20	1.047	0.031	0.053	0.005
8.22	1.039	0.033	0.055	0.005
8.24	1.031	0.039	0.057	0.005
8.26	1.024	0.041	0.059	0.006
8.28	1.012	0.048	0.061	0.007
8.30	1.006	0.055	0.062	0.009
8.32	0.997	0.061	0.064	0.009
8.34	0.990	0.068	0.066	0.010
8.36	0.982	0.075	0.067	0.012
8.38	0.973	0.082	0.069	0.013
8.40	0.963	0.093	0.071	0.016
8.42	0.957	0.104	0.072	0.017
8.44	0.951	0.114	0.073	0.019
8.46	0.945	0.125	0.074	0.022
8.48	0.941	0.136	0.075	0.023
8.50	0.935	0.145	0.076	0.025
8.52	0.930	0.159	0.076	0.027
8.54	0.928	0.168	0.077	0.029
8.56	0.921	0.180	0.077	0.031
8.58	0.919	0.192	0.077	0.033
8.60	0.915	0.205	0.077	0.034
8.62	0.914	0.216	0.077	0.036
8.64	0.908	0.229	0.077	0.038
8.66	0.909	0.243	0.076	0.039
8.68	0.907	0.254	0.076	0.041
8.70	0.906	0.266	0.075	0.043
8.72	0.902	0.280	0.075	0.043
8.74	0.903	0.296	0.075	0.045
8.76	0.903	0.309	0.074	0.046
8.78	0.905	0.325	0.073	0.047
8.80	0.907	0.338	0.073	0.048
8.82	0.910	0.354	0.072	0.049
8.84	0.915	0.368	0.071	0.050
8.86	0.921	0.381	0.071	0.051
8.88	0.927	0.392	0.070	0.051
8.90	0.932	0.402	0.070	0.051
8.92	0.935	0.415	0.070	0.053
8.94	0.943	0.427	0.069	0.054
8.96	0.949	0.438	0.068	0.054
8.98	0.958	0.448	0.068	0.055
9.00	0.964	0.456	0.067	0.055
9.02	0.973	0.464	0.067	0.056
9.04	0.978	0.469	0.066	0.056
9.06	0.984	0.476	0.066	0.056
9.08	0.988	0.481	0.066	0.056
9.10	0.991	0.487	0.066	0.057
9.12	0.992	0.492	0.065	0.057
9.14	0.992	0.501	0.066	0.057
9.16	0.993	0.509	0.065	0.058
9.18	0.994	0.518	0.066	0.058
9.20	0.992	0.527	0.066	0.059
9.22	0.990	0.538	0.066	0.059
9.24	0.986	0.552	0.066	0.060
9.26	0.986	0.570	0.067	0.061
9.28	0.985	0.587	0.066	0.062
9.30	0.987	0.609	0.067	0.063
9.32	0.990	0.631	0.067	0.064
9.34	0.998	0.656	0.067	0.066
9.36	1.007	0.676	0.066	0.067
9.38	1.017	0.702	0.067	0.068
9.40	1.031	0.723	0.066	0.069
9.42	1.044	0.748	0.067	0.071
9.44	1.063	0.772	0.067	0.073
9.46	1.082	0.797	0.068	0.074
9.48	1.108	0.819	0.067	0.076
9.50	1.134	0.840	0.068	0.078
9.52	1.163	0.858	0.068	0.080
9.54	1.193	0.876	0.068	0.082
9.56	1.228	0.890	0.068	0.083
9.58	1.260	0.903	0.069	0.086
9.60	1.301	0.915	0.068	0.089
9.62	1.340	0.919	0.067	0.091
9.64	1.383	0.921	0.065	0.094
9.66	1.423	0.914	0.064	0.095
9.68	1.464	0.907	0.062	0.097
9.70	1.504	0.890	0.061	0.096
9.72	1.538	0.871	0.059	0.096
9.74	1.568	0.847	0.057	0.095
9.76	1.594	0.823	0.056	0.094
9.78	1.614	0.796	0.055	0.092
9.80	1.630	0.773	0.054	0.090
9.82	1.642	0.746	0.053	0.087
9.84	1.648	0.726	0.053	0.085
9.86	1.654	0.706	0.055	0.083
9.88	1.654	0.692	0.057	0.082
9.90	1.657	0.682	0.059	0.083
9.92	1.661	0.678	0.061	0.084
9.94	1.671	0.672	0.063	0.087
