wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.459	0.004	0.004	0.001
3.02	1.451	0.004	0.048	0.001
3.04	1.451	0.004	0.003	0.001
3.06	1.447	0.004	0.017	0.001
3.08	1.447	0.004	0.003	0.001
3.10	1.445	0.004	0.011	0.001
3.12	1.445	0.004	0.003	0.001
3.14	1.442	0.004	0.008	0.001
3.16	1.442	0.004	0.003	0.001
3.18	1.441	0.004	0.006	0.001
3.20	1.441	0.004	0.003	0.001
3.22	1.439	0.004	0.005	0.001
3.24	1.439	0.004	0.003	0.001
3.26	1.437	0.004	0.005	0.001
3.28	1.437	0.004	0.003	0.001
3.30	1.436	0.004	0.004	0.001
3.32	1.436	0.004	0.003	0.001
3.34	1.434	0.004	0.004	0.001
3.36	1.434	0.004	0.003	0.001
3.38	1.433	0.004	0.004	0.001
3.40	1.433	0.004	0.002	0.001
3.42	1.432	0.004	0.004	0.001
3.44	1.432	0.004	0.002	0.001
3.46	1.431	0.004	0.004	0.001
3.48	1.431	0.004	0.003	0.001
3.50	1.429	0.004	0.003	0.001
3.52	1.429	0.004	0.003	0.001
3.54	1.428	0.004	0.003	0.001
3.56	1.428	0.004	0.003	0.001
3.58	1.427	0.004	0.003	0.001
3.60	1.427	0.004	0.003	0.001
3.62	1.426	0.004	0.003	0.001
3.64	1.426	0.004	0.003	0.001
3.66	1.425	0.004	0.003	0.001
3.68	1.425	0.004	0.002	0.001
3.70	1.424	0.004	0.003	0.001
3.72	1.424	0.004	0.003	0.001
3.74	1.423	0.004	0.003	0.001
3.76	1.423	0.004	0.003	0.001
3.78	1.422	0.004	0.003	0.001
3.80	1.422	0.004	0.003	0.001
3.82	1.421	0.004	0.003	0.001
3.84	1.421	0.004	0.002	0.001
3.86	1.420	0.004	0.003	0.001
3.88	1.420	0.004	0.003	0.001
3.90	1.419	0.004	0.003	0.001
3.92	1.419	0.004	0.003	0.001
3.94	1.418	0.004	0.003	0.001
3.96	1.418	0.004	0.003	0.001
3.98	1.417	0.004	0.003	0.001
4.00	1.417	0.004	0.003	0.001
4.02	1.416	0.004	0.003	0.001
4.04	1.416	0.004	0.003	0.001
4.06	1.415	0.004	0.003	0.001
4.08	1.415	0.004	0.003	0.001
4.10	1.414	0.004	0.003	0.001
4.12	1.414	0.004	0.003	0.001
4.14	1.413	0.004	0.003	0.001
4.16	1.413	0.004	0.003	0.001
4.18	1.412	0.004	0.003	0.001
4.20	1.412	0.004	0.003	0.001
4.22	1.411	0.004	0.003	0.001
4.24	1.411	0.004	0.003	0.001
4.26	1.410	0.004	0.003	0.001
4.28	1.410	0.004	0.003	0.001
4.30	1.410	0.004	0.003	0.001
4.32	1.409	0.004	0.003	0.001
4.34	1.409	0.004	0.003	0.001
4.36	1.409	0.004	0.003	0.001
4.38	1.408	0.004	0.003	0.001
4.40	1.408	0.004	0.003	0.001
4.42	1.407	0.004	0.003	0.001
4.44	1.407	0.004	0.003	0.001
4.46	1.406	0.004	0.003	0.001
4.48	1.406	0.004	0.003	0.001
4.50	1.405	0.004	0.003	0.001
4.52	1.405	0.004	0.003	0.001
4.54	1.404	0.004	0.003	0.001
4.56	1.404	0.004	0.003	0.001
4.58	1.403	0.004	0.003	0.001
4.60	1.403	0.004	0.003	0.001
4.62	1.402	0.004	0.003	0.001
4.64	1.402	0.004	0.003	0.001
4.66	1.401	0.004	0.003	0.001
4.68	1.401	0.004	0.003	0.001
4.70	1.400	0.004	0.003	0.001
4.72	1.400	0.004	0.003	0.001
4.74	1.399	0.004	0.003	0.001
4.76	1.399	0.004	0.003	0.001
4.78	1.399	0.004	0.003	0.001
4.80	1.398	0.004	0.004	0.001
4.82	1.398	0.004	0.004	0.001
4.84	1.397	0.004	0.004	0.001
4.86	1.397	0.004	0.004	0.001
4.88	1.397	0.004	0.003	0.001
4.90	1.396	0.004	0.003	0.001
4.92	1.396	0.004	0.004	0.001
4.94	1.395	0.004	0.004	0.001
4.96	1.395	0.004	0.004	0.001
4.98	1.394	0.004	0.004	0.001
5.00	1.394	0.004	0.004	0.001
5.02	1.393	0.004	0.004	0.001
5.04	1.393	0.004	0.004	0.001
5.06	1.392	0.004	0.003	0.001
5.08	1.392	0.004	0.003	0.001
5.10	1.391	0.004	0.004	0.001
5.12	1.391	0.004	0.004	0.001
5.14	1.390	0.004	0.004	0.001
5.16	1.390	0.004	0.004	0.001
5.18	1.389	0.004	0.004	0.001
5.20	1.389	0.004	0.004	0.001
5.22	1.388	0.004	0.004	0.001
5.24	1.388	0.004	0.004	0.001
5.26	1.387	0.004	0.004	0.001
5.28	1.387	0.004	0.004	0.001
5.30	1.386	0.004	0.004	0.001
5.32	1.386	0.004	0.004	0.001
5.34	1.385	0.004	0.004	0.001
5.36	1.385	0.004	0.004	0.001
5.38	1.384	0.004	0.004	0.001
5.40	1.384	0.004	0.004	0.001
5.42	1.383	0.004	0.004	0.001
5.44	1.383	0.004	0.004	0.001
5.46	1.382	0.004	0.004	0.001
5.48	1.382	0.004	0.004	0.001
5.50	1.381	0.004	0.004	0.001
5.52	1.381	0.004	0.004	0.001
5.54	1.380	0.004	0.004	0.001
5.56	1.380	0.004	0.004	0.001
5.58	1.379	0.004	0.004	0.001
5.60	1.378	0.004	0.004	0.001
