wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.488	0.015	0.014	0.005
3.02	1.487	0.015	0.034	0.005
3.04	1.487	0.015	0.008	0.005
3.06	1.486	0.015	0.015	0.005
3.08	1.487	0.015	0.007	0.005
3.10	1.486	0.015	0.016	0.005
3.12	1.486	0.015	0.011	0.005
3.14	1.486	0.015	0.016	0.005
3.16	1.486	0.015	0.011	0.005
3.18	1.486	0.015	0.015	0.005
3.20	1.486	0.015	0.010	0.008
3.22	1.485	0.015	0.013	0.006
3.24	1.485	0.015	0.008	0.005
3.26	1.485	0.015	0.011	0.004
3.28	1.485	0.015	0.006	0.003
3.30	1.485	0.015	0.009	0.003
3.32	1.485	0.015	0.005	0.003
3.34	1.485	0.015	0.007	0.002
3.36	1.485	0.015	0.004	0.002
3.38	1.484	0.015	0.006	0.002
3.40	1.484	0.015	0.003	0.002
3.42	1.484	0.015	0.005	0.002
3.44	1.484	0.015	0.003	0.002
3.46	1.484	0.015	0.004	0.002
3.48	1.484	0.015	0.002	0.002
3.50	1.484	0.015	0.003	0.002
3.52	1.484	0.015	0.002	0.002
3.54	1.483	0.015	0.002	0.002
3.56	1.483	0.015	0.002	0.002
3.58	1.483	0.015	0.002	0.002
3.60	1.483	0.015	0.002	0.002
3.62	1.483	0.015	0.002	0.002
3.64	1.483	0.015	0.002	0.002
3.66	1.483	0.015	0.001	0.002
3.68	1.483	0.015	0.002	0.002
3.70	1.483	0.015	0.001	0.002
3.72	1.483	0.015	0.002	0.002
3.74	1.483	0.015	0.001	0.002
3.76	1.483	0.015	0.002	0.002
3.78	1.483	0.015	0.001	0.002
3.80	1.483	0.015	0.002	0.002
3.82	1.483	0.014	0.001	0.001
3.84	1.483	0.015	0.003	0.002
3.86	1.483	0.015	0.002	0.002
3.88	1.483	0.015	0.003	0.002
3.90	1.483	0.015	0.002	0.002
3.92	1.483	0.015	0.003	0.002
3.94	1.483	0.014	0.002	0.001
3.96	1.483	0.015	0.003	0.002
3.98	1.483	0.014	0.002	0.001
4.00	1.483	0.015	0.003	0.002
4.02	1.483	0.014	0.002	0.001
4.04	1.483	0.014	0.003	0.001
4.06	1.483	0.014	0.002	0.001
4.08	1.483	0.014	0.003	0.002
4.10	1.484	0.014	0.002	0.002
4.12	1.484	0.012	0.003	0.001
4.14	1.484	0.012	0.002	0.001
4.16	1.484	0.011	0.003	0.001
4.18	1.483	0.011	0.003	0.001
4.20	1.484	0.010	0.004	0.001
4.22	1.483	0.009	0.003	0.001
4.24	1.482	0.009	0.004	0.001
4.26	1.481	0.007	0.004	0.001
4.28	1.480	0.008	0.005	0.001
4.30	1.479	0.007	0.004	0.001
4.32	1.477	0.008	0.005	0.001
4.34	1.476	0.008	0.005	0.001
4.36	1.475	0.010	0.006	0.001
4.38	1.476	0.011	0.005	0.001
4.40	1.476	0.011	0.006	0.001
4.42	1.475	0.012	0.005	0.001
4.44	1.476	0.012	0.006	0.001
4.46	1.475	0.013	0.005	0.002
4.48	1.476	0.013	0.006	0.002
4.50	1.476	0.013	0.005	0.002
4.52	1.477	0.013	0.006	0.002
4.54	1.477	0.013	0.005	0.002
4.56	1.477	0.013	0.006	0.002
4.58	1.477	0.013	0.005	0.002
4.60	1.477	0.013	0.006	0.002
4.62	1.477	0.013	0.005	0.002
4.64	1.478	0.013	0.006	0.002
4.66	1.477	0.012	0.005	0.002
4.68	1.478	0.013	0.006	0.002
4.70	1.478	0.012	0.005	0.002
4.72	1.478	0.012	0.006	0.002
4.74	1.477	0.011	0.005	0.002
4.76	1.477	0.011	0.006	0.002
4.78	1.477	0.011	0.005	0.002
4.80	1.477	0.011	0.006	0.002
4.82	1.476	0.011	0.005	0.002
4.84	1.476	0.011	0.006	0.002
4.86	1.476	0.011	0.005	0.002
4.88	1.476	0.011	0.006	0.002
4.90	1.476	0.011	0.005	0.002
4.92	1.476	0.011	0.006	0.002
4.94	1.476	0.011	0.005	0.002
4.96	1.476	0.011	0.006	0.002
