wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.470	0.004	0.014	0.002
3.02	1.455	0.004	0.015	0.002
3.04	1.455	0.004	0.016	0.002
3.06	1.450	0.004	0.018	0.002
3.08	1.450	0.004	0.019	0.002
3.10	1.447	0.004	0.021	0.002
3.12	1.447	0.004	0.023	0.002
3.14	1.444	0.004	0.026	0.002
3.16	1.444	0.004	0.032	0.002
3.18	1.442	0.004	0.038	0.002
3.20	1.442	0.004	0.036	0.002
3.22	1.441	0.004	0.034	0.002
3.24	1.441	0.004	0.031	0.004
3.26	1.439	0.004	0.028	0.002
3.28	1.439	0.004	0.026	0.002
3.30	1.438	0.004	0.024	0.001
3.32	1.438	0.004	0.022	0.002
3.34	1.436	0.004	0.020	0.002
3.36	1.436	0.004	0.019	0.002
3.38	1.435	0.004	0.018	0.002
3.40	1.435	0.004	0.016	0.002
3.42	1.434	0.004	0.015	0.002
3.44	1.434	0.004	0.015	0.002
3.46	1.433	0.004	0.014	0.002
3.48	1.433	0.004	0.013	0.002
3.50	1.432	0.004	0.013	0.002
3.52	1.432	0.004	0.012	0.002
3.54	1.431	0.004	0.011	0.002
3.56	1.431	0.004	0.011	0.002
3.58	1.430	0.004	0.011	0.002
3.60	1.430	0.004	0.010	0.002
3.62	1.429	0.004	0.010	0.002
3.64	1.429	0.004	0.009	0.003
3.66	1.428	0.004	0.009	0.002
3.68	1.428	0.004	0.008	0.002
3.70	1.427	0.004	0.008	0.002
3.72	1.427	0.004	0.008	0.002
3.74	1.427	0.004	0.008	0.002
3.76	1.426	0.004	0.007	0.002
3.78	1.426	0.004	0.007	0.002
3.80	1.426	0.004	0.006	0.002
3.82	1.425	0.004	0.006	0.002
3.84	1.425	0.004	0.006	0.002
3.86	1.424	0.004	0.006	0.002
3.88	1.424	0.004	0.006	0.002
3.90	1.423	0.004	0.005	0.002
3.92	1.423	0.004	0.005	0.002
3.94	1.423	0.004	0.005	0.002
3.96	1.422	0.004	0.005	0.002
3.98	1.422	0.004	0.005	0.002
4.00	1.422	0.004	0.005	0.002
4.02	1.421	0.004	0.004	0.002
4.04	1.421	0.004	0.004	0.002
4.06	1.420	0.004	0.004	0.002
4.08	1.420	0.004	0.004	0.002
4.10	1.419	0.004	0.004	0.002
4.12	1.419	0.004	0.005	0.002
4.14	1.419	0.004	0.004	0.003
4.16	1.419	0.004	0.004	0.003
4.18	1.418	0.004	0.004	0.004
4.20	1.418	0.004	0.003	0.004
4.22	1.417	0.004	0.003	0.004
4.24	1.417	0.004	0.002	0.004
4.26	1.417	0.004	0.002	0.004
4.28	1.416	0.004	0.001	0.004
4.30	1.416	0.004	0.001	0.004
4.32	1.416	0.004	0.001	0.004
4.34	1.415	0.004	0.001	0.004
4.36	1.415	0.004	0.001	0.003
4.38	1.414	0.004	0.001	0.003
4.40	1.414	0.004	0.002	0.002
4.42	1.414	0.004	0.001	0.002
4.44	1.413	0.004	0.001	0.002
4.46	1.413	0.004	0.001	0.002
4.48	1.413	0.004	0.000	0.002
4.50	1.412	0.004	0.001	0.002
4.52	1.412	0.004	0.001	0.002
4.54	1.411	0.004	0.001	0.002
4.56	1.411	0.004	0.001	0.002
4.58	1.411	0.004	0.001	0.002
4.60	1.411	0.004	0.001	0.002
4.62	1.410	0.004	0.001	0.002
4.64	1.410	0.004	0.001	0.002
4.66	1.409	0.004	0.002	0.002
4.68	1.409	0.004	0.002	0.002
4.70	1.409	0.004	0.002	0.002
4.72	1.408	0.004	0.002	0.002
4.74	1.408	0.004	0.002	0.002
4.76	1.408	0.004	0.002	0.002
4.78	1.407	0.004	0.002	0.002
4.80	1.407	0.004	0.002	0.002
4.82	1.406	0.004	0.002	0.002
4.84	1.406	0.004	0.003	0.002
4.86	1.406	0.004	0.003	0.002
4.88	1.405	0.004	0.003	0.002
4.90	1.405	0.004	0.003	0.002
4.92	1.405	0.004	0.003	0.002
4.94	1.404	0.004	0.003	0.002
4.96	1.404	0.004	0.003	0.002
4.98	1.403	0.004	0.004	0.001
5.00	1.403	0.004	0.004	0.001
5.02	1.402	0.004	0.004	0.001
5.04	1.402	0.004	0.004	0.001
5.06	1.402	0.004	0.004	0.001
5.08	1.401	0.004	0.004	0.001
5.10	1.401	0.004	0.004	0.001
5.12	1.400	0.004	0.004	0.001
5.14	1.400	0.004	0.004	0.001
5.16	1.400	0.004	0.004	0.001
5.18	1.399	0.004	0.005	0.001
5.20	1.399	0.004	0.005	0.001
5.22	1.398	0.004	0.005	0.001
5.24	1.398	0.004	0.005	0.001
5.26	1.397	0.004	0.005	0.001
5.28	1.397	0.004	0.005	0.001
5.30	1.396	0.004	0.005	0.001
5.32	1.396	0.004	0.005	0.001
5.34	1.395	0.004	0.006	0.001
5.36	1.395	0.004	0.005	0.001
5.38	1.394	0.004	0.006	0.001
5.40	1.394	0.004	0.006	0.001
5.42	1.393	0.004	0.006	0.001
5.44	1.393	0.004	0.006	0.001
5.46	1.392	0.004	0.006	0.001
5.48	1.392	0.004	0.006	0.001
5.50	1.391	0.004	0.006	0.001
5.52	1.391	0.004	0.007	0.001
5.54	1.390	0.004	0.007	0.001
5.56	1.390	0.004	0.007	0.001
5.58	1.389	0.004	0.007	0.001
5.60	1.388	0.004	0.007	0.001
5.62	1.388	0.004	0.008	0.001
5.64	1.387	0.004	0.008	0.001
5.66	1.386	0.004	0.008	0.001
5.68	1.385	0.004	0.008	0.001
5.70	1.385	0.004	0.008	0.001
5.72	1.384	0.004	0.008	0.001
5.74	1.383	0.004	0.009	0.001
5.76	1.381	0.004	0.009	0.001
5.78	1.380	0.005	0.009	0.001
5.80	1.380	0.006	0.009	0.002
5.82	1.379	0.006	0.009	0.002
5.84	1.378	0.007	0.009	0.002
5.86	1.377	0.007	0.010	0.002
5.88	1.377	0.008	0.010	0.003
5.90	1.376	0.008	0.010	0.003
5.92	1.375	0.009	0.010	0.004
5.94	1.375	0.009	0.010	0.004
5.96	1.374	0.010	0.010	0.005
5.98	1.374	0.010	0.009	0.005
6.00	1.372	0.011	0.009	0.005
6.02	1.373	0.011	0.009	0.006
6.04	1.371	0.011	0.008	0.006
6.06	1.370	0.012	0.008	0.006
6.08	1.368	0.012	0.007	0.006
6.10	1.366	0.014	0.007	0.006
6.12	1.366	0.016	0.007	0.006
6.14	1.365	0.018	0.006	0.006
6.16	1.365	0.020	0.006	0.006
6.18	1.366	0.022	0.006	0.005
6.20	1.368	0.023	0.006	0.005
6.22	1.370	0.022	0.006	0.005
6.24	1.369	0.021	0.006	0.005
6.26	1.368	0.020	0.007	0.005
6.28	1.365	0.021	0.007	0.005
6.30	1.365	0.022	0.008	0.005
6.32	1.363	0.023	0.007	0.006
6.34	1.364	0.024	0.007	0.006
6.36	1.360	0.025	0.007	0.006
6.38	1.361	0.028	0.007	0.007
6.40	1.358	0.029	0.006	0.007
6.42	1.361	0.037	0.006	0.007
6.44	1.365	0.033	0.006	0.008
6.46	1.362	0.035	0.005	0.008
6.48	1.364	0.037	0.005	0.008
6.50	1.364	0.037	0.004	0.008
6.52	1.365	0.038	0.003	0.008
6.54	1.364	0.038	0.003	0.007
6.56	1.362	0.041	0.003	0.007
6.58	1.366	0.046	0.002	0.006
6.60	1.368	0.045	0.003	0.006
6.62	1.369	0.048	0.002	0.005
6.64	1.375	0.047	0.003	0.005
6.66	1.374	0.043	0.003	0.005
6.68	1.372	0.045	0.002	0.005
6.70	1.375	0.047	0.002	0.005
6.72	1.377	0.046	0.002	0.005
6.74	1.377	0.046	0.002	0.004
6.76	1.377	0.047	0.003	0.004
