wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.445	0.020	0.013	0.007
3.02	1.456	0.020	0.014	0.008
3.04	1.455	0.020	0.009	0.010
3.06	1.458	0.020	0.003	0.008
3.08	1.457	0.020	0.006	0.009
3.10	1.458	0.020	0.002	0.008
3.12	1.457	0.020	0.004	0.008
3.14	1.458	0.020	0.001	0.007
3.16	1.457	0.020	0.003	0.007
3.18	1.458	0.020	0.001	0.006
3.20	1.457	0.020	0.003	0.006
3.22	1.458	0.020	0.001	0.005
3.24	1.457	0.020	0.003	0.005
3.26	1.457	0.020	0.001	0.005
3.28	1.457	0.020	0.002	0.005
3.30	1.457	0.020	0.001	0.004
3.32	1.456	0.020	0.003	0.004
3.34	1.456	0.020	0.001	0.004
3.36	1.456	0.020	0.002	0.003
3.38	1.456	0.020	0.001	0.003
3.40	1.455	0.020	0.003	0.003
3.42	1.455	0.020	0.001	0.003
3.44	1.455	0.020	0.003	0.003
3.46	1.455	0.020	0.001	0.003
3.48	1.454	0.020	0.003	0.003
3.50	1.454	0.020	0.002	0.002
3.52	1.454	0.020	0.003	0.002
3.54	1.454	0.020	0.002	0.002
3.56	1.453	0.020	0.004	0.002
3.58	1.453	0.020	0.003	0.003
3.60	1.453	0.020	0.003	0.003
3.62	1.453	0.020	0.002	0.002
3.64	1.452	0.020	0.004	0.002
3.66	1.452	0.020	0.003	0.002
3.68	1.452	0.020	0.004	0.002
3.70	1.452	0.020	0.003	0.002
3.72	1.451	0.020	0.004	0.002
3.74	1.451	0.020	0.003	0.002
3.76	1.451	0.020	0.004	0.002
3.78	1.451	0.020	0.003	0.002
3.80	1.450	0.020	0.004	0.002
3.82	1.450	0.020	0.003	0.002
3.84	1.450	0.020	0.004	0.002
3.86	1.450	0.020	0.004	0.002
3.88	1.449	0.020	0.004	0.002
3.90	1.449	0.020	0.004	0.002
3.92	1.449	0.020	0.005	0.002
3.94	1.449	0.020	0.004	0.002
3.96	1.448	0.020	0.005	0.002
3.98	1.448	0.020	0.004	0.002
4.00	1.448	0.020	0.005	0.002
4.02	1.448	0.020	0.004	0.002
4.04	1.448	0.020	0.005	0.002
4.06	1.447	0.020	0.005	0.002
4.08	1.447	0.020	0.005	0.002
4.10	1.447	0.020	0.005	0.002
4.12	1.447	0.020	0.005	0.002
4.14	1.447	0.020	0.005	0.002
4.16	1.446	0.020	0.006	0.002
4.18	1.446	0.020	0.005	0.002
4.20	1.446	0.020	0.006	0.002
4.22	1.446	0.020	0.005	0.002
4.24	1.445	0.020	0.006	0.003
4.26	1.445	0.020	0.005	0.003
4.28	1.445	0.020	0.005	0.003
4.30	1.445	0.020	0.005	0.003
4.32	1.444	0.020	0.005	0.002
4.34	1.444	0.020	0.005	0.002
4.36	1.444	0.020	0.005	0.003
4.38	1.444	0.020	0.004	0.002
4.40	1.444	0.020	0.005	0.003
4.42	1.444	0.020	0.004	0.002
4.44	1.443	0.020	0.005	0.002
4.46	1.443	0.020	0.004	0.002
4.48	1.443	0.020	0.005	0.002
4.50	1.443	0.020	0.004	0.002
4.52	1.443	0.019	0.005	0.001
4.54	1.442	0.019	0.005	0.001
4.56	1.441	0.019	0.006	0.001
4.58	1.441	0.020	0.005	0.001
4.60	1.442	0.020	0.006	0.001
4.62	1.441	0.020	0.005	0.001
4.64	1.442	0.020	0.006	0.001
4.66	1.442	0.019	0.006	0.001
4.68	1.442	0.018	0.006	0.002
4.70	1.441	0.018	0.006	0.002
4.72	1.440	0.018	0.006	0.002
4.74	1.440	0.018	0.006	0.002
4.76	1.439	0.018	0.006	0.002
4.78	1.439	0.018	0.006	0.002
4.80	1.439	0.018	0.006	0.002
4.82	1.438	0.018	0.006	0.002
4.84	1.438	0.018	0.006	0.002
4.86	1.437	0.018	0.006	0.002
4.88	1.437	0.018	0.006	0.002
4.90	1.437	0.018	0.006	0.002
4.92	1.437	0.018	0.006	0.002
4.94	1.436	0.018	0.006	0.002
4.96	1.436	0.018	0.007	0.002
4.98	1.436	0.018	0.006	0.002
5.00	1.436	0.018	0.006	0.002
5.02	1.435	0.017	0.006	0.001
5.04	1.435	0.018	0.007	0.002
5.06	1.436	0.017	0.006	0.002
5.08	1.434	0.016	0.007	0.002
5.10	1.433	0.017	0.007	0.002
5.12	1.433	0.017	0.007	0.002
5.14	1.432	0.017	0.007	0.002
5.16	1.432	0.017	0.007	0.002
5.18	1.432	0.017	0.007	0.002
5.20	1.431	0.017	0.007	0.002
5.22	1.431	0.017	0.007	0.002
5.24	1.430	0.017	0.007	0.002
5.26	1.430	0.017	0.007	0.002
5.28	1.429	0.017	0.007	0.002
5.30	1.428	0.017	0.007	0.002
5.32	1.428	0.018	0.007	0.002
5.34	1.428	0.018	0.007	0.002
5.36	1.428	0.018	0.007	0.002
5.38	1.428	0.018	0.007	0.002
5.40	1.428	0.017	0.007	0.002
5.42	1.426	0.017	0.007	0.002
5.44	1.426	0.018	0.008	0.002
5.46	1.426	0.018	0.007	0.002
5.48	1.425	0.018	0.008	0.002
5.50	1.424	0.018	0.008	0.002
5.52	1.424	0.019	0.008	0.003
5.54	1.425	0.018	0.007	0.002
5.56	1.423	0.018	0.008	0.002
5.58	1.423	0.019	0.008	0.002
5.60	1.423	0.019	0.008	0.002
5.62	1.422	0.019	0.008	0.003
5.64	1.422	0.020	0.008	0.003
5.66	1.422	0.019	0.008	0.003
5.68	1.421	0.020	0.008	0.003
5.70	1.422	0.020	0.008	0.003
5.72	1.421	0.019	0.008	0.003
5.74	1.419	0.019	0.008	0.003
5.76	1.418	0.021	0.008	0.003
5.78	1.420	0.022	0.008	0.003
5.80	1.419	0.020	0.008	0.003
5.82	1.418	0.022	0.008	0.003
5.84	1.420	0.022	0.008	0.003
5.86	1.419	0.021	0.007	0.003
5.88	1.418	0.021	0.008	0.003
5.90	1.418	0.021	0.008	0.003
5.92	1.417	0.021	0.008	0.003
5.94	1.418	0.022	0.008	0.003
5.96	1.418	0.020	0.008	0.003
5.98	1.416	0.021	0.008	0.003
6.00	1.417	0.021	0.008	0.003
6.02	1.416	0.021	0.008	0.003
6.04	1.416	0.021	0.008	0.003
6.06	1.416	0.020	0.008	0.003
6.08	1.415	0.020	0.008	0.003
6.10	1.414	0.019	0.008	0.003
6.12	1.412	0.020	0.008	0.003
6.14	1.413	0.021	0.008	0.003
6.16	1.412	0.020	0.008	0.003
6.18	1.411	0.021	0.008	0.003
6.20	1.412	0.020	0.008	0.003
6.22	1.410	0.019	0.008	0.003
6.24	1.409	0.019	0.008	0.002
6.26	1.408	0.018	0.009	0.002
6.28	1.406	0.018	0.009	0.003
6.30	1.404	0.018	0.009	0.003
6.32	1.402	0.019	0.009	0.003
6.34	1.401	0.019	0.009	0.003
6.36	1.397	0.020	0.010	0.003
6.38	1.397	0.023	0.010	0.003
6.40	1.396	0.023	0.010	0.003
6.42	1.393	0.025	0.010	0.003
6.44	1.392	0.027	0.011	0.004
6.46	1.390	0.029	0.011	0.004
6.48	1.389	0.032	0.011	0.004
