wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.425	0.011	0.090	0.010
3.02	1.430	0.011	0.052	0.010
3.04	1.429	0.011	0.043	0.010
3.06	1.430	0.011	0.034	0.010
3.08	1.430	0.011	0.028	0.010
3.10	1.430	0.011	0.022	0.010
3.12	1.430	0.011	0.016	0.010
3.14	1.430	0.011	0.018	0.010
3.16	1.430	0.011	0.020	0.010
3.18	1.429	0.011	0.016	0.010
3.20	1.429	0.011	0.016	0.010
3.22	1.429	0.011	0.019	0.010
3.24	1.428	0.011	0.014	0.010
3.26	1.428	0.011	0.015	0.010
3.28	1.428	0.011	0.013	0.010
3.30	1.427	0.011	0.013	0.014
3.32	1.427	0.011	0.010	0.012
3.34	1.427	0.011	0.010	0.011
3.36	1.426	0.011	0.008	0.010
3.38	1.426	0.011	0.008	0.010
3.40	1.425	0.011	0.007	0.009
3.42	1.425	0.011	0.007	0.008
3.44	1.424	0.011	0.006	0.009
3.46	1.424	0.011	0.007	0.008
3.48	1.424	0.011	0.006	0.007
3.50	1.423	0.011	0.006	0.008
3.52	1.423	0.011	0.005	0.008
3.54	1.422	0.011	0.005	0.007
3.56	1.422	0.011	0.005	0.007
3.58	1.421	0.011	0.005	0.007
3.60	1.421	0.011	0.004	0.006
3.62	1.420	0.011	0.005	0.007
3.64	1.420	0.011	0.004	0.007
3.66	1.419	0.011	0.004	0.007
3.68	1.419	0.011	0.003	0.006
3.70	1.418	0.011	0.004	0.006
3.72	1.418	0.011	0.003	0.006
3.74	1.418	0.011	0.004	0.006
3.76	1.417	0.011	0.003	0.005
3.78	1.417	0.011	0.004	0.006
3.80	1.416	0.011	0.003	0.005
3.82	1.416	0.011	0.004	0.005
3.84	1.415	0.011	0.003	0.006
3.86	1.415	0.011	0.004	0.006
3.88	1.414	0.011	0.003	0.005
3.90	1.414	0.011	0.004	0.005
3.92	1.413	0.011	0.003	0.005
3.94	1.413	0.011	0.004	0.006
3.96	1.412	0.011	0.003	0.005
3.98	1.412	0.011	0.003	0.005
4.00	1.411	0.011	0.003	0.004
4.02	1.411	0.011	0.004	0.004
4.04	1.410	0.011	0.003	0.004
