wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.484	0.004	0.014	0.002
3.02	1.473	0.004	0.016	0.002
3.04	1.472	0.004	0.019	0.002
3.06	1.468	0.004	0.021	0.002
3.08	1.468	0.004	0.026	0.002
3.10	1.466	0.004	0.030	0.002
3.12	1.465	0.004	0.037	0.002
3.14	1.463	0.004	0.042	0.002
3.16	1.463	0.004	0.054	0.002
3.18	1.461	0.004	0.064	0.002
3.20	1.461	0.004	0.058	0.002
3.22	1.460	0.004	0.049	0.002
3.24	1.459	0.004	0.042	0.002
3.26	1.458	0.004	0.037	0.002
3.28	1.458	0.004	0.032	0.002
3.30	1.457	0.004	0.029	0.002
3.32	1.456	0.004	0.026	0.002
3.34	1.455	0.004	0.023	0.002
3.36	1.455	0.004	0.020	0.002
3.38	1.454	0.004	0.018	0.002
3.40	1.454	0.004	0.016	0.002
3.42	1.453	0.004	0.015	0.002
3.44	1.453	0.004	0.014	0.002
3.46	1.452	0.004	0.012	0.002
3.48	1.451	0.004	0.011	0.002
3.50	1.451	0.004	0.010	0.002
3.52	1.450	0.004	0.009	0.002
3.54	1.450	0.004	0.008	0.002
3.56	1.449	0.004	0.007	0.002
3.58	1.449	0.004	0.006	0.002
3.60	1.448	0.004	0.005	0.002
3.62	1.447	0.004	0.004	0.002
3.64	1.447	0.004	0.004	0.002
3.66	1.446	0.004	0.003	0.002
3.68	1.446	0.004	0.002	0.002
3.70	1.445	0.004	0.002	0.002
3.72	1.445	0.004	0.001	0.002
3.74	1.445	0.004	0.001	0.002
3.76	1.444	0.004	0.001	0.002
3.78	1.444	0.004	0.001	0.002
3.80	1.443	0.004	0.002	0.002
3.82	1.443	0.004	0.002	0.002
3.84	1.442	0.004	0.003	0.002
3.86	1.442	0.004	0.004	0.002
3.88	1.441	0.004	0.004	0.002
3.90	1.441	0.004	0.005	0.002
3.92	1.440	0.004	0.006	0.002
3.94	1.440	0.004	0.006	0.002
3.96	1.439	0.004	0.007	0.002
3.98	1.439	0.004	0.008	0.002
4.00	1.439	0.004	0.008	0.002
4.02	1.438	0.004	0.009	0.002
4.04	1.438	0.004	0.010	0.002
4.06	1.437	0.004	0.012	0.002
4.08	1.437	0.004	0.013	0.002
4.10	1.436	0.004	0.016	0.001
4.12	1.436	0.004	0.018	0.002
4.14	1.435	0.004	0.020	0.005
4.16	1.435	0.004	0.019	0.010
4.18	1.434	0.004	0.018	0.010
4.20	1.434	0.004	0.020	0.013
4.22	1.434	0.004	0.018	0.017
4.24	1.433	0.004	0.015	0.021
4.26	1.433	0.004	0.010	0.023
4.28	1.432	0.004	0.007	0.023
4.30	1.432	0.004	0.004	0.023
4.32	1.432	0.004	0.005	0.019
4.34	1.431	0.004	0.005	0.016
4.36	1.431	0.004	0.008	0.012
4.38	1.430	0.004	0.006	0.007
4.40	1.430	0.004	0.005	0.006
4.42	1.429	0.004	0.004	0.004
4.44	1.429	0.004	0.003	0.002
4.46	1.428	0.004	0.003	0.001
4.48	1.428	0.004	0.004	0.001
4.50	1.428	0.004	0.005	0.001
4.52	1.427	0.004	0.006	0.001
4.54	1.427	0.004	0.006	0.001
4.56	1.426	0.004	0.007	0.001
4.58	1.426	0.004	0.008	0.001
4.60	1.425	0.004	0.008	0.001
4.62	1.425	0.004	0.009	0.001
4.64	1.425	0.004	0.009	0.001
4.66	1.424	0.004	0.010	0.001
4.68	1.424	0.004	0.010	0.001
4.70	1.423	0.004	0.011	0.001
4.72	1.423	0.004	0.011	0.001
4.74	1.422	0.004	0.012	0.001
4.76	1.422	0.004	0.012	0.001
4.78	1.422	0.004	0.012	0.001
4.80	1.421	0.004	0.013	0.001
4.82	1.421	0.004	0.013	0.001
4.84	1.420	0.004	0.014	0.001
4.86	1.420	0.004	0.014	0.001
4.88	1.419	0.004	0.015	0.001
4.90	1.419	0.004	0.015	0.001
4.92	1.418	0.004	0.015	0.001
4.94	1.418	0.004	0.016	0.001
4.96	1.418	0.004	0.016	0.001
4.98	1.417	0.004	0.016	0.001
5.00	1.417	0.004	0.017	0.001
5.02	1.416	0.004	0.017	0.001
5.04	1.416	0.004	0.018	0.001
5.06	1.415	0.004	0.018	0.001
5.08	1.415	0.004	0.019	0.001
5.10	1.414	0.004	0.019	0.001
5.12	1.414	0.004	0.020	0.001
5.14	1.413	0.004	0.020	0.001
5.16	1.413	0.004	0.021	0.001
5.18	1.413	0.004	0.021	0.001
5.20	1.412	0.004	0.022	0.001
5.22	1.412	0.004	0.022	0.001
5.24	1.411	0.004	0.023	0.002
5.26	1.411	0.004	0.023	0.002
5.28	1.410	0.004	0.024	0.002
5.30	1.410	0.004	0.024	0.002
5.32	1.409	0.004	0.025	0.002
5.34	1.409	0.004	0.025	0.002
5.36	1.408	0.004	0.027	0.003
5.38	1.408	0.004	0.027	0.003
5.40	1.407	0.004	0.028	0.003
5.42	1.407	0.004	0.028	0.004
5.44	1.406	0.004	0.029	0.004
5.46	1.406	0.004	0.030	0.005
