wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.435	0.005	0.020	0.003
3.02	1.437	0.005	0.010	0.003
3.04	1.436	0.005	0.009	0.003
3.06	1.436	0.005	0.006	0.003
3.08	1.435	0.005	0.006	0.003
3.10	1.435	0.005	0.006	0.007
3.12	1.434	0.005	0.005	0.010
3.14	1.434	0.005	0.006	0.009
3.16	1.433	0.005	0.005	0.008
3.18	1.433	0.005	0.006	0.008
3.20	1.432	0.005	0.005	0.007
3.22	1.431	0.005	0.005	0.006
3.24	1.431	0.005	0.005	0.005
3.26	1.430	0.005	0.005	0.005
3.28	1.429	0.005	0.005	0.004
3.30	1.429	0.005	0.005	0.004
3.32	1.428	0.005	0.004	0.004
3.34	1.428	0.005	0.004	0.003
3.36	1.427	0.005	0.004	0.003
3.38	1.427	0.005	0.004	0.003
3.40	1.426	0.005	0.004	0.003
3.42	1.425	0.005	0.004	0.003
3.44	1.425	0.005	0.004	0.003
3.46	1.424	0.005	0.003	0.002
3.48	1.424	0.005	0.004	0.002
3.50	1.423	0.005	0.004	0.002
3.52	1.423	0.005	0.004	0.002
3.54	1.422	0.005	0.004	0.002
3.56	1.422	0.005	0.004	0.002
3.58	1.421	0.005	0.004	0.002
3.60	1.421	0.005	0.004	0.002
3.62	1.420	0.005	0.004	0.002
3.64	1.419	0.005	0.004	0.002
3.66	1.419	0.005	0.004	0.002
3.68	1.418	0.005	0.004	0.002
3.70	1.418	0.005	0.004	0.002
3.72	1.417	0.005	0.004	0.002
3.74	1.417	0.005	0.004	0.002
3.76	1.416	0.005	0.004	0.002
3.78	1.416	0.005	0.004	0.002
3.80	1.415	0.005	0.004	0.001
3.82	1.415	0.005	0.004	0.001
3.84	1.414	0.005	0.004	0.001
3.86	1.414	0.005	0.004	0.001
3.88	1.413	0.005	0.004	0.001
3.90	1.413	0.005	0.004	0.001
3.92	1.412	0.005	0.004	0.001
3.94	1.412	0.005	0.004	0.001
3.96	1.411	0.005	0.005	0.001
3.98	1.410	0.005	0.004	0.001
4.00	1.410	0.005	0.005	0.001
4.02	1.409	0.005	0.005	0.001
4.04	1.409	0.005	0.005	0.001
4.06	1.408	0.005	0.005	0.001
4.08	1.408	0.005	0.005	0.001
4.10	1.407	0.005	0.005	0.001
4.12	1.407	0.005	0.005	0.001
4.14	1.406	0.005	0.005	0.001
4.16	1.406	0.005	0.005	0.001
