wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.438	0.005	0.005	0.003
3.02	1.438	0.005	0.026	0.003
3.04	1.438	0.005	0.004	0.003
3.06	1.437	0.005	0.009	0.003
3.08	1.437	0.005	0.002	0.003
3.10	1.437	0.005	0.008	0.003
3.12	1.437	0.005	0.003	0.003
3.14	1.436	0.005	0.007	0.003
3.16	1.436	0.005	0.003	0.003
3.18	1.436	0.005	0.006	0.003
3.20	1.436	0.005	0.003	0.003
3.22	1.435	0.005	0.005	0.003
3.24	1.435	0.005	0.002	0.003
3.26	1.435	0.005	0.004	0.003
3.28	1.435	0.005	0.001	0.004
3.30	1.434	0.005	0.002	0.004
3.32	1.434	0.005	0.001	0.004
3.34	1.434	0.005	0.001	0.003
3.36	1.434	0.005	0.002	0.003
3.38	1.434	0.005	0.001	0.003
3.40	1.433	0.005	0.003	0.003
3.42	1.433	0.005	0.001	0.003
3.44	1.433	0.005	0.003	0.003
3.46	1.433	0.005	0.002	0.003
3.48	1.432	0.005	0.004	0.003
3.50	1.432	0.005	0.002	0.003
3.52	1.432	0.005	0.004	0.003
3.54	1.432	0.005	0.003	0.003
3.56	1.431	0.005	0.005	0.003
3.58	1.431	0.005	0.003	0.003
3.60	1.431	0.005	0.005	0.003
3.62	1.431	0.005	0.004	0.002
3.64	1.430	0.005	0.005	0.002
3.66	1.430	0.005	0.004	0.002
3.68	1.430	0.005	0.005	0.002
3.70	1.430	0.005	0.005	0.002
3.72	1.429	0.005	0.006	0.003
3.74	1.429	0.005	0.005	0.002
3.76	1.429	0.005	0.006	0.002
3.78	1.429	0.005	0.005	0.002
3.80	1.428	0.005	0.006	0.003
3.82	1.428	0.005	0.005	0.003
3.84	1.428	0.005	0.006	0.003
3.86	1.428	0.005	0.006	0.003
3.88	1.427	0.005	0.007	0.003
3.90	1.427	0.005	0.006	0.003
3.92	1.427	0.005	0.007	0.002
3.94	1.426	0.005	0.006	0.002
3.96	1.426	0.005	0.007	0.002
3.98	1.426	0.005	0.006	0.002
