wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.477	0.015	0.095	0.005
3.02	1.461	0.015	0.141	0.005
3.04	1.460	0.015	0.054	0.005
3.06	1.454	0.015	0.061	0.005
3.08	1.454	0.015	0.040	0.005
3.10	1.450	0.015	0.042	0.005
3.12	1.450	0.015	0.027	0.005
3.14	1.447	0.015	0.029	0.005
3.16	1.447	0.015	0.029	0.005
3.18	1.444	0.015	0.027	0.005
3.20	1.444	0.015	0.026	0.005
3.22	1.442	0.015	0.029	0.005
3.24	1.441	0.015	0.024	0.005
3.26	1.440	0.015	0.026	0.005
3.28	1.439	0.015	0.019	0.005
3.30	1.438	0.015	0.023	0.005
3.32	1.437	0.015	0.016	0.005
3.34	1.436	0.015	0.018	0.005
3.36	1.435	0.015	0.011	0.005
3.38	1.434	0.015	0.014	0.005
3.40	1.434	0.015	0.008	0.005
3.42	1.432	0.015	0.010	0.005
3.44	1.432	0.015	0.002	0.005
3.46	1.431	0.015	0.004	0.005
3.48	1.430	0.015	0.003	0.005
3.50	1.429	0.015	0.004	0.005
3.52	1.429	0.015	0.011	0.005
3.54	1.428	0.015	0.010	0.005
3.56	1.427	0.015	0.027	0.005
3.58	1.426	0.015	0.033	0.005
3.60	1.426	0.015	0.037	0.005
3.62	1.425	0.015	0.025	0.007
3.64	1.424	0.015	0.019	0.008
3.66	1.423	0.015	0.012	0.007
3.68	1.423	0.015	0.013	0.008
3.70	1.422	0.015	0.009	0.009
3.72	1.421	0.015	0.009	0.009
3.74	1.420	0.015	0.008	0.008
3.76	1.420	0.015	0.009	0.008
3.78	1.419	0.015	0.006	0.010
3.80	1.419	0.015	0.009	0.008
3.82	1.418	0.015	0.007	0.010
3.84	1.417	0.015	0.011	0.008
3.86	1.416	0.015	0.008	0.008
3.88	1.416	0.015	0.009	0.008
3.90	1.415	0.015	0.009	0.006
3.92	1.415	0.015	0.009	0.008
3.94	1.414	0.015	0.010	0.006
3.96	1.413	0.015	0.009	0.006
3.98	1.413	0.015	0.011	0.006
4.00	1.412	0.015	0.009	0.008
4.02	1.411	0.015	0.015	0.006
4.04	1.411	0.015	0.010	0.006
4.06	1.410	0.015	0.013	0.006
4.08	1.410	0.015	0.012	0.006
4.10	1.409	0.015	0.014	0.006
4.12	1.408	0.015	0.013	0.007
4.14	1.408	0.015	0.020	0.013
4.16	1.407	0.015	0.016	0.010
4.18	1.406	0.015	0.016	0.010
4.20	1.406	0.015	0.014	0.012
4.22	1.405	0.015	0.013	0.014
4.24	1.405	0.015	0.010	0.017
4.26	1.404	0.015	0.011	0.017
4.28	1.404	0.015	0.008	0.018
4.30	1.403	0.015	0.007	0.016
4.32	1.402	0.015	0.002	0.014
4.34	1.402	0.015	0.003	0.012
4.36	1.401	0.015	0.006	0.011
4.38	1.400	0.015	0.004	0.007
4.40	1.400	0.015	0.003	0.007
4.42	1.399	0.015	0.004	0.005
4.44	1.399	0.015	0.003	0.006
4.46	1.398	0.015	0.003	0.004
4.48	1.398	0.015	0.004	0.004
4.50	1.397	0.015	0.005	0.004
4.52	1.396	0.015	0.005	0.004
4.54	1.396	0.015	0.006	0.004
4.56	1.395	0.015	0.006	0.004
4.58	1.394	0.015	0.006	0.004
4.60	1.394	0.015	0.006	0.004
4.62	1.393	0.015	0.006	0.004
4.64	1.393	0.015	0.006	0.004
4.66	1.392	0.015	0.005	0.004
4.68	1.392	0.015	0.006	0.004
4.70	1.391	0.015	0.007	0.004
4.72	1.390	0.015	0.006	0.004
4.74	1.390	0.015	0.008	0.004
4.76	1.389	0.015	0.004	0.004
4.78	1.388	0.015	0.009	0.004
4.80	1.388	0.015	0.007	0.004
4.82	1.387	0.015	0.009	0.004
4.84	1.387	0.015	0.008	0.004
4.86	1.386	0.015	0.010	0.004
4.88	1.385	0.015	0.008	0.004
4.90	1.385	0.015	0.010	0.004
4.92	1.384	0.015	0.009	0.004
4.94	1.383	0.015	0.010	0.004
4.96	1.383	0.015	0.009	0.004
4.98	1.382	0.015	0.009	0.004
5.00	1.382	0.015	0.009	0.004
5.02	1.381	0.015	0.013	0.004
5.04	1.380	0.015	0.012	0.004
5.06	1.380	0.015	0.015	0.004
5.08	1.379	0.015	0.013	0.005
5.10	1.378	0.015	0.015	0.005
5.12	1.378	0.015	0.014	0.006
5.14	1.377	0.015	0.015	0.006
5.16	1.377	0.015	0.014	0.006
5.18	1.376	0.015	0.017	0.006
5.20	1.375	0.015	0.014	0.004
5.22	1.375	0.015	0.013	0.004
5.24	1.374	0.015	0.015	0.004
5.26	1.373	0.015	0.015	0.004
5.28	1.373	0.015	0.015	0.004
5.30	1.372	0.015	0.015	0.004
5.32	1.372	0.015	0.015	0.004
5.34	1.371	0.015	0.015	0.004
5.36	1.370	0.015	0.015	0.004
5.38	1.369	0.015	0.016	0.004
5.40	1.369	0.015	0.015	0.004
5.42	1.368	0.015	0.014	0.001
5.44	1.368	0.015	0.014	0.004
5.46	1.367	0.015	0.017	0.005
5.48	1.366	0.015	0.016	0.005
5.50	1.365	0.015	0.019	0.005
5.52	1.365	0.015	0.018	0.006
5.54	1.364	0.015	0.019	0.006
5.56	1.363	0.015	0.019	0.006
5.58	1.362	0.015	0.021	0.006
5.60	1.362	0.015	0.021	0.008
5.62	1.361	0.015	0.022	0.005
5.64	1.361	0.015	0.021	0.006
5.66	1.360	0.015	0.021	0.006
5.68	1.359	0.015	0.020	0.006
5.70	1.358	0.015	0.020	0.006
5.72	1.358	0.015	0.021	0.007
5.74	1.357	0.015	0.021	0.008
5.76	1.356	0.015	0.021	0.008
5.78	1.355	0.015	0.020	0.006
5.80	1.355	0.015	0.019	0.011
5.82	1.354	0.015	0.022	0.012
5.84	1.353	0.015	0.020	0.012
5.86	1.352	0.015	0.023	0.012
5.88	1.352	0.015	0.022	0.013
5.90	1.351	0.015	0.022	0.014
5.92	1.350	0.015	0.022	0.016
5.94	1.349	0.015	0.022	0.017
5.96	1.349	0.015	0.020	0.017
5.98	1.348	0.015	0.018	0.017
6.00	1.347	0.015	0.018	0.016
6.02	1.346	0.015	0.020	0.017
6.04	1.345	0.015	0.016	0.017
6.06	1.344	0.015	0.016	0.017
6.08	1.344	0.015	0.015	0.016
6.10	1.343	0.015	0.017	0.016
6.12	1.342	0.015	0.015	0.015
6.14	1.341	0.015	0.017	0.013
6.16	1.340	0.015	0.014	0.009
6.18	1.339	0.015	0.014	0.011
6.20	1.339	0.015	0.015	0.011
6.22	1.337	0.015	0.015	0.009
6.24	1.337	0.015	0.018	0.007
6.26	1.336	0.015	0.020	0.009
6.28	1.335	0.015	0.022	0.005
6.30	1.334	0.015	0.024	0.008
6.32	1.333	0.015	0.023	0.009
6.34	1.332	0.015	0.025	0.010
6.36	1.331	0.015	0.024	0.012
6.38	1.330	0.015	0.026	0.014
6.40	1.329	0.015	0.026	0.014
6.42	1.328	0.015	0.024	0.016
6.44	1.327	0.015	0.023	0.018
6.46	1.326	0.015	0.021	0.020
6.48	1.325	0.015	0.019	0.020
6.50	1.324	0.015	0.016	0.022
6.52	1.323	0.015	0.014	0.022
6.54	1.322	0.015	0.015	0.022
6.56	1.321	0.015	0.013	0.022
6.58	1.320	0.015	0.013	0.020
6.60	1.319	0.015	0.014	0.020
6.62	1.318	0.015	0.014	0.018
6.64	1.317	0.015	0.014	0.018
6.66	1.316	0.015	0.014	0.015
6.68	1.315	0.015	0.012	0.015
6.70	1.313	0.015	0.015	0.014
6.72	1.312	0.015	0.014	0.014
6.74	1.311	0.015	0.015	0.010
6.76	1.310	0.015	0.014	0.009
6.78	1.309	0.015	0.015	0.009
6.80	1.308	0.015	0.014	0.009
6.82	1.306	0.015	0.015	0.009
6.84	1.305	0.015	0.015	0.006
6.86	1.304	0.015	0.013	0.006
6.88	1.303	0.015	0.013	0.006
6.90	1.301	0.015	0.014	0.005
6.92	1.300	0.015	0.012	0.005
6.94	1.298	0.015	0.012	0.008
6.96	1.297	0.015	0.013	0.008
6.98	1.295	0.015	0.014	0.005
7.00	1.294	0.015	0.015	0.005
7.02	1.293	0.015	0.016	0.005
7.04	1.292	0.015	0.017	0.005
7.06	1.290	0.015	0.018	0.008
7.08	1.289	0.015	0.017	0.008
7.10	1.287	0.015	0.017	0.008
7.12	1.285	0.015	0.017	0.007
7.14	1.283	0.015	0.017	0.007
7.16	1.282	0.015	0.016	0.007
7.18	1.280	0.015	0.019	0.005
7.20	1.279	0.015	0.019	0.007
7.22	1.277	0.015	0.019	0.007
7.24	1.276	0.015	0.019	0.008
7.26	1.273	0.015	0.018	0.007
7.28	1.272	0.015	0.018	0.005
7.30	1.270	0.015	0.019	0.005
7.32	1.268	0.015	0.019	0.005
7.34	1.266	0.015	0.020	0.005
7.36	1.264	0.015	0.020	0.005
7.38	1.262	0.015	0.021	0.005
7.40	1.260	0.015	0.021	0.005
7.42	1.258	0.015	0.021	0.005
7.44	1.256	0.015	0.021	0.004
7.46	1.253	0.015	0.022	0.001
7.48	1.252	0.015	0.022	0.001
7.50	1.249	0.015	0.023	0.001
7.52	1.247	0.015	0.023	0.001
7.54	1.244	0.015	0.024	0.001
7.56	1.243	0.015	0.023	0.001
7.58	1.239	0.014	0.024	0.001
7.60	1.237	0.014	0.024	0.001
7.62	1.233	0.014	0.025	0.001
7.64	1.231	0.014	0.025	0.001
7.66	1.227	0.014	0.026	0.001
7.68	1.225	0.014	0.026	0.001
7.70	1.220	0.014	0.027	0.001
7.72	1.218	0.014	0.026	0.001
7.74	1.212	0.014	0.028	0.001
7.76	1.211	0.015	0.027	0.001
7.78	1.205	0.015	0.029	0.001
7.80	1.205	0.016	0.028	0.001
7.82	1.196	0.013	0.032	0.004
7.84	1.194	0.018	0.029	0.001
7.86	1.188	0.015	0.031	0.004
7.88	1.184	0.020	0.030	0.001
7.90	1.180	0.017	0.031	0.004
7.92	1.174	0.022	0.031	0.001
7.94	1.171	0.020	0.030	0.004
7.96	1.163	0.023	0.033	0.001
7.98	1.160	0.025	0.033	0.001
8.00	1.156	0.026	0.034	0.001
8.02	1.148	0.025	0.036	0.005
8.04	1.143	0.031	0.035	0.001
8.06	1.137	0.029	0.035	0.005
8.08	1.129	0.036	0.036	0.001
8.10	1.125	0.035	0.035	0.005
8.12	1.116	0.042	0.038	0.001
8.14	1.114	0.042	0.036	0.005
8.16	1.102	0.046	0.042	0.005
8.18	1.097	0.051	0.039	0.005
8.20	1.088	0.058	0.042	0.006
8.22	1.086	0.064	0.038	0.006
8.24	1.078	0.067	0.043	0.007
8.26	1.072	0.073	0.042	0.007
8.28	1.062	0.079	0.044	0.007
8.30	1.056	0.090	0.042	0.010
8.32	1.053	0.098	0.044	0.011
8.34	1.049	0.104	0.046	0.011
8.36	1.042	0.113	0.046	0.012
8.38	1.041	0.121	0.044	0.011
8.40	1.035	0.126	0.044	0.015
8.42	1.029	0.134	0.045	0.016
8.44	1.023	0.146	0.047	0.014
8.46	1.024	0.154	0.047	0.016
8.48	1.017	0.161	0.048	0.017
8.50	1.016	0.173	0.045	0.019
8.52	1.013	0.179	0.046	0.017
8.54	1.010	0.189	0.047	0.019
8.56	1.008	0.195	0.047	0.020
8.58	1.001	0.202	0.046	0.022
8.60	0.997	0.215	0.046	0.020
8.62	0.998	0.223	0.049	0.022
8.64	0.990	0.228	0.047	0.024
8.66	0.983	0.242	0.049	0.023
8.68	0.981	0.254	0.049	0.026
8.70	0.976	0.263	0.049	0.026
8.72	0.967	0.277	0.050	0.029
8.74	0.964	0.294	0.049	0.029
8.76	0.960	0.309	0.050	0.032
8.78	0.956	0.326	0.047	0.034
8.80	0.953	0.346	0.048	0.034
8.82	0.954	0.368	0.046	0.035
8.84	0.957	0.389	0.047	0.036
8.86	0.962	0.411	0.045	0.038
8.88	0.971	0.433	0.044	0.039
8.90	0.982	0.449	0.043	0.040
8.92	0.989	0.468	0.042	0.040
8.94	1.004	0.486	0.043	0.040
8.96	1.015	0.500	0.043	0.043
8.98	1.029	0.518	0.039	0.043
9.00	1.046	0.532	0.040	0.043
