wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.464	0.002	0.060	0.001
3.02	1.442	0.002	0.013	0.001
3.04	1.444	0.002	0.029	0.001
3.06	1.435	0.002	0.014	0.001
3.08	1.436	0.002	0.017	0.001
3.10	1.430	0.002	0.018	0.001
3.12	1.431	0.002	0.021	0.001
3.14	1.426	0.002	0.027	0.001
3.16	1.427	0.002	0.024	0.001
3.18	1.423	0.002	0.027	0.001
3.20	1.423	0.002	0.021	0.001
3.22	1.420	0.002	0.023	0.001
3.24	1.420	0.002	0.017	0.001
3.26	1.417	0.002	0.018	0.001
3.28	1.417	0.002	0.014	0.001
3.30	1.415	0.002	0.014	0.001
3.32	1.415	0.002	0.011	0.001
3.34	1.413	0.002	0.010	0.001
3.36	1.412	0.002	0.010	0.001
3.38	1.410	0.002	0.008	0.001
3.40	1.410	0.002	0.009	0.001
3.42	1.408	0.002	0.007	0.001
3.44	1.408	0.002	0.009	0.001
3.46	1.406	0.002	0.007	0.001
3.48	1.406	0.002	0.010	0.001
3.50	1.404	0.002	0.007	0.001
3.52	1.404	0.002	0.010	0.001
3.54	1.402	0.002	0.008	0.001
3.56	1.402	0.002	0.011	0.001
3.58	1.400	0.002	0.008	0.001
3.60	1.400	0.002	0.012	0.001
3.62	1.398	0.002	0.009	0.001
3.64	1.398	0.002	0.012	0.001
3.66	1.397	0.002	0.010	0.001
3.68	1.396	0.002	0.013	0.001
3.70	1.395	0.002	0.010	0.001
3.72	1.394	0.002	0.013	0.001
3.74	1.393	0.002	0.011	0.001
3.76	1.393	0.002	0.014	0.001
3.78	1.391	0.002	0.011	0.001
3.80	1.391	0.002	0.014	0.001
3.82	1.390	0.002	0.012	0.001
3.84	1.389	0.002	0.014	0.001
3.86	1.388	0.002	0.012	0.001
3.88	1.388	0.002	0.015	0.001
3.90	1.386	0.002	0.013	0.001
3.92	1.386	0.002	0.016	0.001
3.94	1.385	0.002	0.014	0.001
3.96	1.384	0.002	0.016	0.001
3.98	1.383	0.002	0.014	0.001
4.00	1.383	0.002	0.016	0.001
4.02	1.381	0.002	0.014	0.001
4.04	1.381	0.002	0.017	0.001
4.06	1.380	0.002	0.015	0.001
4.08	1.380	0.002	0.017	0.001
4.10	1.378	0.002	0.015	0.001
