wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.437	0.003	0.108	0.002
3.02	1.438	0.003	0.057	0.002
3.04	1.438	0.003	0.047	0.002
3.06	1.438	0.003	0.023	0.002
3.08	1.438	0.003	0.017	0.002
3.10	1.438	0.003	0.013	0.002
3.12	1.437	0.003	0.016	0.002
3.14	1.437	0.003	0.032	0.002
3.16	1.437	0.003	0.037	0.002
3.18	1.436	0.003	0.057	0.002
3.20	1.436	0.003	0.066	0.002
3.22	1.436	0.003	0.115	0.002
3.24	1.435	0.003	0.138	0.002
3.26	1.435	0.003	0.116	0.002
3.28	1.435	0.003	0.101	0.002
3.30	1.434	0.003	0.080	0.002
3.32	1.434	0.003	0.068	0.002
3.34	1.434	0.003	0.056	0.002
3.36	1.433	0.003	0.049	0.002
3.38	1.433	0.003	0.041	0.004
3.40	1.433	0.003	0.037	0.004
3.42	1.432	0.003	0.032	0.004
3.44	1.432	0.003	0.029	0.004
3.46	1.432	0.003	0.025	0.004
3.48	1.431	0.003	0.023	0.005
3.50	1.431	0.003	0.021	0.004
3.52	1.431	0.003	0.019	0.004
3.54	1.430	0.003	0.016	0.004
3.56	1.430	0.003	0.015	0.004
3.58	1.429	0.003	0.013	0.004
3.60	1.429	0.003	0.012	0.004
3.62	1.429	0.003	0.010	0.004
3.64	1.428	0.003	0.009	0.004
3.66	1.428	0.003	0.007	0.004
3.68	1.428	0.003	0.007	0.004
3.70	1.427	0.003	0.005	0.004
3.72	1.427	0.003	0.005	0.004
3.74	1.426	0.003	0.004	0.004
3.76	1.426	0.003	0.003	0.004
3.78	1.426	0.003	0.002	0.004
3.80	1.425	0.003	0.003	0.004
3.82	1.425	0.003	0.002	0.004
3.84	1.425	0.003	0.003	0.004
3.86	1.424	0.003	0.003	0.004
3.88	1.424	0.003	0.004	0.005
3.90	1.423	0.003	0.004	0.005
3.92	1.423	0.003	0.005	0.005
3.94	1.423	0.003	0.005	0.005
3.96	1.422	0.003	0.006	0.005
3.98	1.422	0.003	0.006	0.005
4.00	1.421	0.003	0.007	0.005
4.02	1.421	0.003	0.007	0.005
4.04	1.421	0.003	0.008	0.005
4.06	1.420	0.003	0.009	0.005
4.08	1.420	0.003	0.009	0.005
4.10	1.419	0.003	0.010	0.005
4.12	1.419	0.003	0.010	0.005
4.14	1.418	0.003	0.010	0.005
