wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.462	0.020	0.021	0.005
3.02	1.460	0.020	0.030	0.005
3.04	1.461	0.020	0.015	0.005
3.06	1.460	0.020	0.010	0.005
3.08	1.461	0.020	0.011	0.005
3.10	1.460	0.020	0.006	0.005
3.12	1.461	0.020	0.008	0.005
3.14	1.460	0.020	0.005	0.005
3.16	1.460	0.020	0.007	0.005
3.18	1.460	0.020	0.004	0.005
3.20	1.460	0.020	0.006	0.005
3.22	1.460	0.020	0.003	0.005
3.24	1.460	0.020	0.006	0.005
3.26	1.459	0.020	0.003	0.008
3.28	1.459	0.020	0.006	0.007
3.30	1.459	0.020	0.003	0.007
3.32	1.459	0.020	0.005	0.007
3.34	1.459	0.020	0.003	0.006
3.36	1.459	0.020	0.006	0.007
3.38	1.458	0.020	0.003	0.006
3.40	1.458	0.020	0.005	0.006
3.42	1.458	0.020	0.004	0.006
3.44	1.458	0.020	0.005	0.006
3.46	1.457	0.020	0.004	0.006
3.48	1.457	0.020	0.005	0.006
3.50	1.457	0.020	0.004	0.005
3.52	1.457	0.020	0.005	0.005
3.54	1.457	0.020	0.004	0.005
3.56	1.457	0.020	0.006	0.005
3.58	1.456	0.020	0.004	0.005
3.60	1.456	0.020	0.006	0.005
3.62	1.456	0.020	0.004	0.005
3.64	1.456	0.020	0.006	0.005
3.66	1.455	0.020	0.004	0.004
3.68	1.455	0.020	0.006	0.005
3.70	1.455	0.020	0.004	0.004
3.72	1.455	0.020	0.006	0.004
3.74	1.455	0.020	0.005	0.004
3.76	1.455	0.020	0.006	0.004
3.78	1.454	0.020	0.005	0.004
3.80	1.454	0.020	0.006	0.004
3.82	1.454	0.020	0.005	0.004
3.84	1.454	0.020	0.006	0.004
3.86	1.453	0.020	0.005	0.004
3.88	1.453	0.020	0.006	0.004
3.90	1.453	0.020	0.005	0.004
3.92	1.453	0.020	0.006	0.004
3.94	1.453	0.020	0.005	0.004
3.96	1.453	0.020	0.006	0.004
3.98	1.452	0.020	0.005	0.004
4.00	1.452	0.020	0.006	0.004
4.02	1.452	0.020	0.005	0.004
4.04	1.452	0.020	0.006	0.004
4.06	1.451	0.020	0.005	0.004
4.08	1.451	0.020	0.006	0.004
4.10	1.451	0.020	0.005	0.004
4.12	1.451	0.020	0.005	0.003
4.14	1.451	0.020	0.004	0.003
4.16	1.451	0.020	0.005	0.002
4.18	1.450	0.020	0.005	0.002
4.20	1.450	0.020	0.006	0.002
4.22	1.450	0.020	0.006	0.002
4.24	1.450	0.020	0.007	0.001
4.26	1.449	0.020	0.006	0.001
4.28	1.449	0.020	0.007	0.001
4.30	1.449	0.020	0.007	0.001
4.32	1.449	0.020	0.009	0.001
4.34	1.449	0.020	0.008	0.002
4.36	1.449	0.020	0.009	0.002
4.38	1.448	0.020	0.008	0.003
4.40	1.448	0.020	0.009	0.003
4.42	1.448	0.020	0.008	0.003
4.44	1.448	0.020	0.009	0.003
4.46	1.447	0.020	0.008	0.003
4.48	1.447	0.020	0.009	0.003
4.50	1.447	0.020	0.008	0.003
4.52	1.447	0.020	0.009	0.003
4.54	1.447	0.020	0.008	0.003
4.56	1.447	0.020	0.008	0.003
4.58	1.446	0.020	0.008	0.003
4.60	1.446	0.020	0.008	0.003
4.62	1.446	0.020	0.008	0.003
4.64	1.446	0.020	0.008	0.003
4.66	1.445	0.020	0.008	0.003
4.68	1.445	0.020	0.008	0.003
4.70	1.445	0.020	0.008	0.003
4.72	1.445	0.020	0.008	0.004
4.74	1.445	0.020	0.008	0.003
4.76	1.445	0.020	0.009	0.003
4.78	1.444	0.020	0.008	0.003
4.80	1.444	0.020	0.009	0.003
4.82	1.444	0.020	0.008	0.003
4.84	1.444	0.020	0.009	0.003
4.86	1.444	0.020	0.008	0.003
4.88	1.444	0.020	0.009	0.003
4.90	1.443	0.020	0.008	0.003
4.92	1.443	0.020	0.009	0.003
4.94	1.443	0.020	0.008	0.003
