wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
3.00	1.452	0.006	0.060	0.002
3.02	1.449	0.006	0.059	0.002
3.04	1.449	0.006	0.031	0.002
3.06	1.448	0.006	0.033	0.002
3.08	1.447	0.006	0.022	0.002
3.10	1.446	0.006	0.022	0.002
3.12	1.446	0.006	0.016	0.002
3.14	1.445	0.006	0.017	0.002
3.16	1.445	0.006	0.013	0.002
3.18	1.444	0.006	0.014	0.002
3.20	1.443	0.006	0.011	0.002
3.22	1.443	0.006	0.012	0.002
3.24	1.442	0.006	0.010	0.002
3.26	1.442	0.006	0.010	0.002
3.28	1.441	0.006	0.008	0.002
3.30	1.441	0.006	0.008	0.002
3.32	1.440	0.006	0.007	0.002
3.34	1.440	0.006	0.007	0.002
3.36	1.439	0.006	0.006	0.002
3.38	1.439	0.006	0.007	0.002
3.40	1.438	0.006	0.005	0.002
3.42	1.438	0.006	0.005	0.002
3.44	1.437	0.006	0.004	0.002
3.46	1.437	0.006	0.004	0.002
3.48	1.436	0.006	0.005	0.002
3.50	1.436	0.006	0.005	0.002
3.52	1.435	0.006	0.004	0.002
3.54	1.435	0.006	0.004	0.002
3.56	1.434	0.006	0.003	0.002
3.58	1.434	0.006	0.003	0.002
3.60	1.433	0.006	0.003	0.002
3.62	1.433	0.006	0.003	0.002
3.64	1.432	0.006	0.003	0.002
3.66	1.432	0.006	0.002	0.002
3.68	1.432	0.006	0.003	0.002
3.70	1.431	0.006	0.002	0.002
3.72	1.431	0.006	0.003	0.002
3.74	1.430	0.006	0.002	0.002
3.76	1.430	0.006	0.002	0.002
3.78	1.429	0.006	0.002	0.002
3.80	1.429	0.006	0.004	0.002
3.82	1.428	0.006	0.003	0.002
3.84	1.428	0.006	0.003	0.002
3.86	1.427	0.006	0.002	0.002
3.88	1.427	0.006	0.003	0.002
3.90	1.426	0.006	0.002	0.002
3.92	1.425	0.006	0.003	0.002
3.94	1.425	0.006	0.003	0.002
3.96	1.424	0.006	0.003	0.002
3.98	1.424	0.006	0.003	0.002
4.00	1.423	0.006	0.004	0.002
4.02	1.423	0.006	0.003	0.002
4.04	1.422	0.006	0.005	0.002
4.06	1.422	0.006	0.004	0.002
4.08	1.421	0.006	0.004	0.002
4.10	1.421	0.006	0.004	0.002
4.12	1.420	0.006	0.005	0.002
4.14	1.420	0.006	0.005	0.002
4.16	1.419	0.006	0.006	0.002
4.18	1.418	0.006	0.005	0.002
4.20	1.418	0.006	0.005	0.002
4.22	1.417	0.006	0.005	0.002
4.24	1.417	0.006	0.004	0.002
4.26	1.416	0.006	0.004	0.002
4.28	1.416	0.006	0.004	0.002
4.30	1.415	0.006	0.003	0.002
4.32	1.415	0.006	0.003	0.002
4.34	1.414	0.006	0.003	0.002
4.36	1.413	0.006	0.003	0.002
4.38	1.413	0.006	0.003	0.002
4.40	1.412	0.006	0.004	0.002
4.42	1.411	0.006	0.003	0.002
4.44	1.411	0.006	0.004	0.002
4.46	1.410	0.006	0.004	0.002
4.48	1.410	0.006	0.004	0.002
4.50	1.409	0.006	0.004	0.002
4.52	1.408	0.006	0.005	0.002
4.54	1.408	0.006	0.005	0.002
4.56	1.407	0.006	0.004	0.002
4.58	1.406	0.006	0.004	0.002
4.60	1.406	0.006	0.005	0.002
4.62	1.405	0.006	0.005	0.002
4.64	1.404	0.006	0.005	0.002
4.66	1.404	0.006	0.006	0.002
4.68	1.403	0.006	0.006	0.002
4.70	1.402	0.006	0.005	0.002
4.72	1.401	0.006	0.006	0.002
4.74	1.401	0.006	0.005	0.002
4.76	1.400	0.006	0.006	0.002
4.78	1.399	0.006	0.005	0.002
4.80	1.398	0.006	0.006	0.002
4.82	1.398	0.006	0.005	0.002
4.84	1.397	0.006	0.006	0.002
4.86	1.396	0.006	0.006	0.002
4.88	1.395	0.006	0.007	0.002
